body_noFunctionWords,url_noIntLinks,body_richness,url_noLinks,url_linkText,send_noCharacters,body_noCharacters,subj_reply,send_noWords,url_nonModalHereLinks,url_noIpAddresses,body_html,url_atSymbol,body_noWords,subj_richness,url_maxNoPeriods,url_noDomains,url_ipAddress,body_verifyYourAccount,body_suspension,url_noExtLinks,url_ports,subj_verify,body_forms,script_scripts,subj_bank,subj_noWords,url_noPorts,subj_forward,subj_debit,body_noDistinctWords,script_nonModalJsLoads,script_popups,send_diffSenderReplyTo,script_javaScript,script_statusChange,label
16,1,0.119686069326,4,False,37,1529,False,4,False,0,True,False,183,0.105263157895,3,5,False,False,False,3,False,False,False,False,False,2,0,False,False,104,False,False,False,False,False,P
5,1,0.0540387874223,11,True,33,5311,False,3,False,1,True,False,287,0.205128205128,3,7,True,False,False,10,False,False,False,False,False,8,0,False,False,214,False,False,False,False,False,P
0,0,0.0130036578896,0,False,41,358130,False,2,False,0,True,False,4657,0.216666666667,0,2,False,False,False,0,False,False,False,False,False,13,0,False,False,4646,False,False,False,False,False,P
18,2,0.0415789473684,3,False,37,5700,False,2,False,0,True,False,237,0.205882352941,0,3,False,True,False,1,False,False,False,False,False,7,0,False,False,173,False,False,False,False,False,P
12,2,0.101165897498,4,True,58,8234,False,4,False,0,True,False,833,0.133333333333,2,4,False,False,False,2,False,False,False,False,False,6,0,False,False,277,False,False,False,False,False,P
1,2,0.0751592356688,8,True,49,2355,False,5,False,0,True,False,177,0.184210526316,4,8,False,False,False,6,False,True,False,False,False,7,0,False,False,129,False,False,False,False,False,P
39,36,0.0720531438282,93,False,44,32365,False,3,False,0,True,False,2332,0.137931034483,4,18,False,False,False,57,False,False,True,True,False,8,0,False,False,1171,True,False,False,False,False,P
1,0,0.153550863724,1,False,38,521,False,2,False,0,True,False,80,0.190476190476,2,3,False,False,False,1,False,False,False,False,False,4,0,False,False,61,False,False,True,False,False,P
2,1,0.121824104235,2,True,53,1535,False,3,False,0,True,False,187,0.115384615385,2,3,False,False,False,1,False,False,False,False,False,3,0,False,False,123,False,False,False,False,False,P
7,1,0.0749311294766,4,False,39,3630,False,5,False,0,True,False,272,0.148148148148,2,4,False,False,False,3,False,False,False,False,False,4,0,False,False,181,False,False,False,False,False,P
2,1,0.109139477199,2,True,38,5241,False,2,False,0,True,False,572,0.166666666667,2,3,False,False,False,1,False,False,False,False,False,5,0,False,False,329,False,False,False,False,False,P
6,1,0.122367101304,2,False,31,997,False,3,False,0,True,False,122,0.170731707317,0,3,False,False,False,1,False,False,False,False,False,7,0,False,False,72,False,False,False,False,False,P
15,2,0.0478355201984,10,True,41,9679,False,3,True,0,True,False,463,0.205128205128,3,8,False,False,False,8,False,False,False,False,False,8,0,False,False,289,False,False,False,False,False,P
0,3,0.103541799617,8,False,33,6268,False,1,False,0,True,False,649,0.105263157895,2,7,False,False,False,5,False,False,False,False,False,2,0,False,False,288,False,False,True,False,False,P
7,0,0.172018348624,1,False,37,436,False,2,False,0,False,False,75,0.240740740741,7,2,False,False,False,1,False,False,False,False,False,13,0,False,False,65,False,False,False,False,False,P
12,0,0.0412745098039,34,False,17,10200,False,1,False,0,True,False,421,0.163265306122,3,6,False,False,False,34,False,False,False,False,False,8,0,False,False,188,False,False,False,False,False,P
4,1,0.0852097130243,2,True,39,2265,False,3,False,0,True,False,193,0.125,2,3,False,False,False,1,False,False,False,False,False,2,0,False,False,110,False,False,False,False,False,P
2,0,0.189024390244,1,False,55,164,False,3,False,0,False,False,31,0.2,3,3,False,False,False,1,False,False,False,False,False,1,0,False,False,25,False,False,True,False,False,P
13,3,0.066280904787,9,True,33,9505,False,3,False,0,True,False,630,0.181818181818,3,4,False,False,False,6,False,True,False,False,False,6,0,False,False,311,False,False,False,False,False,P
28,1,0.108864696734,2,False,45,1929,False,5,False,0,True,False,210,0.206896551724,3,3,False,False,False,1,False,False,False,False,False,6,0,False,False,128,False,False,False,False,False,P
7,1,0.0890636894189,7,False,44,19705,False,3,False,0,True,False,1755,0.153846153846,2,8,False,False,False,6,False,False,True,True,False,2,0,False,False,720,False,False,False,False,False,P
8,4,0.0796509991556,13,False,25,3553,False,2,False,0,True,True,283,0.181818181818,4,8,False,False,False,9,False,False,False,False,False,4,0,False,False,150,False,False,False,False,False,P
0,10,0.0130266639528,10,False,46,147390,False,3,False,0,True,False,1920,0.137254901961,3,2,False,False,False,0,False,False,False,False,False,7,0,False,False,1706,False,False,False,False,False,P
0,4,0.0149253731343,4,False,67,1541,False,2,False,0,True,False,23,0.151515151515,0,2,False,False,False,0,False,False,False,False,False,5,0,False,False,23,False,False,False,False,False,P
7,1,0.133394664213,2,True,40,1087,False,3,True,0,True,False,145,0.142857142857,2,3,False,False,False,1,False,False,False,False,False,8,0,False,False,81,False,False,False,False,False,P
0,1,0.0819112627986,2,False,22,586,False,2,False,0,True,False,48,0.111111111111,2,2,False,False,False,1,False,False,False,False,False,2,0,False,False,42,False,False,False,False,False,P
6,1,0.143356643357,2,False,24,572,False,2,False,0,True,False,82,0.105263157895,2,3,False,False,False,1,False,False,False,False,False,2,0,False,False,43,False,False,False,False,False,P
0,2,0.0982083609821,5,False,54,3014,False,6,False,0,True,False,296,0.1875,3,5,False,False,False,3,False,False,False,False,False,3,0,False,False,216,False,False,True,False,False,P
3,1,0.0577231427044,5,False,31,7484,False,2,False,0,True,False,432,0.196078431373,4,5,False,False,False,4,False,False,False,False,False,10,0,False,False,228,False,False,False,False,False,P
