body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,script_javaScript,script_noOnClickEvents,script_nonModalJsLoads,script_popups,script_scripts,script_statusChange,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_debit,subj_forward,subj_noCharacters,subj_noWords,subj_reply,subj_richness,subj_verify,url_atSymbol,url_ipAddress,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
False,False,257,40,2,46,0.17898832684824903,False,False,False,0,False,False,False,False,False,35,3,False,False,False,False,23,4,False,0.17391304347826086,False,False,False,False,4,2,1,0,0,0,1,0,False,False,S
False,False,579,65,3,77,0.13298791018998274,False,False,False,0,False,False,False,False,False,20,1,True,False,False,False,36,8,False,0.2222222222222222,False,False,True,False,4,3,2,0,0,1,2,0,False,False,S
False,True,14972,1146,7,2395,0.15996526850120224,False,False,False,0,False,False,False,False,False,49,7,True,True,False,False,18,4,True,0.2222222222222222,False,False,False,False,3,3,1,1,0,0,1,0,False,False,S
False,True,1042,127,3,174,0.16698656429942418,False,False,False,0,False,False,False,False,False,23,1,True,False,False,False,26,2,False,0.07692307692307693,False,False,False,True,3,4,2,0,0,0,2,0,False,False,S
True,True,9205,427,4,968,0.10516023900054318,False,False,False,0,False,False,False,False,False,22,4,True,False,False,False,30,6,False,0.2,False,False,True,False,4,8,28,16,3,1,31,0,False,False,S
True,True,3674,182,2,331,0.09009254218835057,False,False,False,0,False,False,False,False,False,38,3,False,False,False,False,29,5,False,0.1724137931034483,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,True,1665,95,1,128,0.07687687687687687,False,False,False,0,False,False,False,False,False,44,3,True,False,False,False,60,14,False,0.23333333333333334,False,True,False,False,3,6,11,5,3,0,14,0,False,False,S
False,True,6896,356,4,678,0.09831786542923433,False,False,False,0,False,False,False,False,False,44,3,True,False,False,False,29,6,False,0.20689655172413793,False,True,False,False,3,6,27,18,6,0,33,0,False,False,S
False,False,1512,26,0,26,0.017195767195767195,False,False,False,0,False,False,False,False,False,23,1,False,False,False,False,27,6,False,0.2222222222222222,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,True,5080,119,2,256,0.050393700787401574,False,False,False,0,False,False,False,False,False,22,1,True,False,False,False,15,3,False,0.2,False,False,False,True,3,3,39,17,18,0,57,57,False,True,S
False,True,4534,235,17,446,0.09836788707543008,False,False,False,0,False,False,False,False,True,57,2,True,False,False,False,27,6,False,0.2222222222222222,False,False,True,True,4,5,17,4,7,1,24,0,True,False,S
False,False,5379,306,3,487,0.09053727458635434,False,False,False,0,False,False,False,False,False,19,1,False,False,False,False,40,8,False,0.2,False,False,False,False,0,1,0,0,0,0,0,0,False,False,S
False,False,569,79,1,109,0.19156414762741653,False,False,False,0,False,False,False,False,False,16,1,True,False,False,False,35,7,False,0.2,False,False,False,False,3,2,2,0,0,0,2,0,False,False,S
False,True,1740,193,0,246,0.1413793103448276,False,False,False,0,False,False,False,False,False,31,1,True,False,False,False,23,6,False,0.2608695652173913,False,False,False,True,2,3,2,0,2,0,4,0,True,False,S
False,False,807,110,2,151,0.18711276332094176,False,False,False,0,False,False,False,False,False,39,2,True,False,False,False,25,6,False,0.24,False,False,False,False,3,3,3,0,0,0,3,0,False,False,S
False,False,582,65,3,77,0.1323024054982818,False,False,False,0,False,False,False,False,False,24,1,True,False,False,False,36,8,False,0.2222222222222222,False,False,False,False,2,3,2,0,0,0,2,0,False,False,S
False,True,4019,259,14,792,0.1970639462552874,False,False,False,0,False,False,False,False,True,28,1,False,False,False,False,17,2,False,0.11764705882352941,False,False,False,False,0,2,0,0,0,0,0,0,False,False,S
False,False,2525,312,7,531,0.2102970297029703,False,False,False,0,False,False,False,False,False,40,4,True,False,False,False,29,3,False,0.10344827586206896,False,False,False,False,2,3,1,0,0,0,1,0,False,False,S
False,True,811,55,2,67,0.08261405672009864,False,False,False,0,False,False,False,False,False,37,3,True,False,False,False,27,8,False,0.2962962962962963,False,False,False,True,2,2,2,0,2,0,4,0,False,False,S
False,True,6452,483,4,715,0.11081835089894607,False,False,False,0,False,False,False,False,False,37,2,False,False,False,False,17,3,False,0.17647058823529413,False,False,False,False,2,2,0,0,1,0,1,0,False,False,S
False,True,6453,483,4,715,0.11080117774678444,False,False,False,0,False,False,False,False,False,41,3,True,False,False,False,21,6,False,0.2857142857142857,False,False,False,False,2,2,0,0,3,0,3,0,False,False,S
False,False,40269,618,0,628,0.015595122799175545,False,False,False,0,False,False,False,False,False,37,2,True,False,False,False,26,3,False,0.11538461538461539,False,False,False,False,3,2,2,0,1,0,3,0,False,False,S
False,False,2908,336,7,579,0.19910591471801925,False,False,False,0,False,False,False,False,False,40,4,True,False,False,False,16,2,False,0.125,False,False,False,False,2,2,1,0,0,0,1,0,False,False,S
