body_noCharacters,body_noFunctionWords,url_noIntLinks,body_richness,url_noLinks,url_linkText,send_noCharacters,subj_reply,send_noWords,url_nonModalHereLinks,url_noIpAddresses,body_html,url_atSymbol,body_noWords,subj_richness,url_maxNoPeriods,url_noDomains,url_ipAddress,body_verifyYourAccount,body_suspension,url_noExtLinks,url_ports,subj_verify,body_forms,script_scripts,subj_bank,subj_noWords,url_noPorts,subj_forward,subj_debit,body_noDistinctWords,script_nonModalJsLoads,script_popups,send_diffSenderReplyTo,label
1529,16,1,0.119686069326,4,False,37,False,4,False,0,True,False,183,0.105263157895,3,5,False,False,False,3,False,False,False,False,False,2,0,False,False,104,False,False,False,P
5311,5,1,0.0540387874223,11,True,33,False,3,False,1,True,False,287,0.205128205128,3,7,True,False,False,10,False,False,False,False,False,8,0,False,False,214,False,False,False,P
358130,0,0,0.0130036578896,0,False,41,False,2,False,0,True,False,4657,0.216666666667,0,2,False,False,False,0,False,False,False,False,False,13,0,False,False,4646,False,False,False,P
5700,18,2,0.0415789473684,3,False,37,False,2,False,0,True,False,237,0.205882352941,0,3,False,True,False,1,False,False,False,False,False,7,0,False,False,173,False,False,False,P
8234,12,2,0.101165897498,4,True,58,False,4,False,0,True,False,833,0.133333333333,2,4,False,False,False,2,False,False,False,False,False,6,0,False,False,277,False,False,False,P
2355,1,2,0.0751592356688,8,True,49,False,5,False,0,True,False,177,0.184210526316,4,8,False,False,False,6,False,True,False,False,False,7,0,False,False,129,False,False,False,P
32365,39,36,0.0720531438282,93,False,44,False,3,False,0,True,False,2332,0.137931034483,4,18,False,False,False,57,False,False,True,True,False,8,0,False,False,1171,True,False,False,P
521,1,0,0.153550863724,1,False,38,False,2,False,0,True,False,80,0.190476190476,2,3,False,False,False,1,False,False,False,False,False,4,0,False,False,61,False,False,True,P
1535,2,1,0.121824104235,2,True,53,False,3,False,0,True,False,187,0.115384615385,2,3,False,False,False,1,False,False,False,False,False,3,0,False,False,123,False,False,False,P
3630,7,1,0.0749311294766,4,False,39,False,5,False,0,True,False,272,0.148148148148,2,4,False,False,False,3,False,False,False,False,False,4,0,False,False,181,False,False,False,P
5241,2,1,0.109139477199,2,True,38,False,2,False,0,True,False,572,0.166666666667,2,3,False,False,False,1,False,False,False,False,False,5,0,False,False,329,False,False,False,P
997,6,1,0.122367101304,2,False,31,False,3,False,0,True,False,122,0.170731707317,0,3,False,False,False,1,False,False,False,False,False,7,0,False,False,72,False,False,False,P
9679,15,2,0.0478355201984,10,True,41,False,3,True,0,True,False,463,0.205128205128,3,8,False,False,False,8,False,False,False,False,False,8,0,False,False,289,False,False,False,P
6268,0,3,0.103541799617,8,False,33,False,1,False,0,True,False,649,0.105263157895,2,7,False,False,False,5,False,False,False,False,False,2,0,False,False,288,False,False,True,P
436,7,0,0.172018348624,1,False,37,False,2,False,0,False,False,75,0.240740740741,7,2,False,False,False,1,False,False,False,False,False,13,0,False,False,65,False,False,False,P
10200,12,0,0.0412745098039,34,False,17,False,1,False,0,True,False,421,0.163265306122,3,6,False,False,False,34,False,False,False,False,False,8,0,False,False,188,False,False,False,P
2265,4,1,0.0852097130243,2,True,39,False,3,False,0,True,False,193,0.125,2,3,False,False,False,1,False,False,False,False,False,2,0,False,False,110,False,False,False,P
164,2,0,0.189024390244,1,False,55,False,3,False,0,False,False,31,0.2,3,3,False,False,False,1,False,False,False,False,False,1,0,False,False,25,False,False,True,P
9505,13,3,0.066280904787,9,True,33,False,3,False,0,True,False,630,0.181818181818,3,4,False,False,False,6,False,True,False,False,False,6,0,False,False,311,False,False,False,P
1929,28,1,0.108864696734,2,False,45,False,5,False,0,True,False,210,0.206896551724,3,3,False,False,False,1,False,False,False,False,False,6,0,False,False,128,False,False,False,P
19705,7,1,0.0890636894189,7,False,44,False,3,False,0,True,False,1755,0.153846153846,2,8,False,False,False,6,False,False,True,True,False,2,0,False,False,720,False,False,False,P
3553,8,4,0.0796509991556,13,False,25,False,2,False,0,True,True,283,0.181818181818,4,8,False,False,False,9,False,False,False,False,False,4,0,False,False,150,False,False,False,P
147390,0,10,0.0130266639528,10,False,46,False,3,False,0,True,False,1920,0.137254901961,3,2,False,False,False,0,False,False,False,False,False,7,0,False,False,1706,False,False,False,P
1541,0,4,0.0149253731343,4,False,67,False,2,False,0,True,False,23,0.151515151515,0,2,False,False,False,0,False,False,False,False,False,5,0,False,False,23,False,False,False,P
1087,7,1,0.133394664213,2,True,40,False,3,True,0,True,False,145,0.142857142857,2,3,False,False,False,1,False,False,False,False,False,8,0,False,False,81,False,False,False,P
586,0,1,0.0819112627986,2,False,22,False,2,False,0,True,False,48,0.111111111111,2,2,False,False,False,1,False,False,False,False,False,2,0,False,False,42,False,False,False,P
572,6,1,0.143356643357,2,False,24,False,2,False,0,True,False,82,0.105263157895,2,3,False,False,False,1,False,False,False,False,False,2,0,False,False,43,False,False,False,P
3014,0,2,0.0982083609821,5,False,54,False,6,False,0,True,False,296,0.1875,3,5,False,False,False,3,False,False,False,False,False,3,0,False,False,216,False,False,True,P
7484,3,1,0.0577231427044,5,False,31,False,2,False,0,True,False,432,0.196078431373,4,5,False,False,False,4,False,False,False,False,False,10,0,False,False,228,False,False,False,P
955,4,0,0.0712041884817,1,True,31,False,3,True,0,True,False,68,0.125,2,3,False,False,False,1,False,False,False,False,False,3,0,False,False,36,False,False,False,P
2856,4,1,0.0896358543417,2,True,45,False,4,True,0,True,True,256,0.133333333333,2,3,False,False,True,1,False,False,False,False,False,4,0,False,False,105,False,False,False,P
1661,4,1,0.0740517760385,3,False,36,True,3,False,0,True,False,123,0.333333333333,2,4,False,False,False,2,False,False,False,False,False,2,0,False,False,95,False,False,False,P
913,4,0,0.0832420591457,3,False,47,False,3,False,0,True,False,76,0.190476190476,3,3,False,False,False,3,False,False,False,False,True,8,0,False,False,57,False,False,False,P
885,1,1,0.122033898305,3,False,12,False,1,False,0,True,False,108,0.178571428571,3,3,False,False,False,2,False,False,False,False,False,5,0,False,False,91,False,False,False,P
425,6,0,0.176470588235,1,False,31,False,2,False,0,False,False,75,0.240740740741,7,2,False,False,False,1,False,False,False,False,False,13,0,False,False,65,False,False,False,P
165,2,0,0.187878787879,1,False,60,False,3,False,0,False,False,31,0.142857142857,3,3,False,False,False,1,False,False,False,False,False,2,0,False,False,25,False,False,True,P
26191,14,30,0.0773929975946,54,False,30,False,1,False,0,True,False,2027,0.147058823529,4,9,False,False,False,24,False,False,False,True,False,5,0,False,False,964,False,False,False,P
7261,6,6,0.0859385759537,9,False,30,False,3,False,0,True,False,624,0.105263157895,3,4,False,False,False,3,False,False,False,False,False,2,0,False,False,289,False,False,False,P
6607,7,7,0.0998940517633,9,True,31,False,4,True,0,True,False,660,0.142857142857,3,4,False,False,False,2,False,False,False,False,False,2,0,False,False,289,False,False,False,P
1702,12,1,0.0851938895417,6,False,28,False,2,False,0,True,False,145,0.178571428571,3,7,False,False,False,5,False,False,False,False,False,5,0,False,False,97,False,False,False,P
41366,0,0,0.0130541991007,0,False,25,False,2,False,0,True,False,540,0.117647058824,0,2,False,False,False,0,False,False,False,False,False,2,0,False,False,540,False,False,False,P
8672,4,0,0.0669972324723,19,True,34,False,1,False,0,True,False,581,0.189189189189,3,5,False,False,False,19,False,False,False,False,False,7,0,False,False,186,False,False,False,P
2473,0,8,0.0141528507885,8,False,45,False,3,False,0,True,False,35,0.176470588235,0,1,False,False,False,0,False,False,False,False,False,6,0,False,False,35,False,False,False,P
12130,36,4,0.0906842539159,17,False,48,False,2,False,0,True,False,1100,0.15,0,10,False,False,False,13,False,False,False,False,False,3,0,False,False,622,False,False,False,P
20476,27,19,0.0732076577457,48,True,50,False,5,False,0,True,False,1499,0.157894736842,3,9,False,False,False,29,False,True,False,False,False,6,0,False,False,658,False,False,False,P
3234,16,1,0.121521335807,2,True,37,False,3,True,0,True,False,393,0.136363636364,1,3,False,False,False,1,False,False,False,False,False,3,0,False,False,175,False,False,False,P
5706,7,1,0.101647388714,3,True,32,False,3,False,0,True,False,580,0.192307692308,1,4,False,False,False,2,False,False,False,False,False,5,0,False,False,159,False,False,False,P
7277,8,0,0.111309605607,1,True,26,False,2,True,0,True,False,810,0.172413793103,4,3,False,False,False,1,False,False,False,False,False,5,0,False,False,210,False,False,False,P
30699,0,0,0.0131926121372,0,False,32,False,2,False,0,True,False,405,0.148148148148,0,2,False,False,False,0,False,False,False,False,False,8,0,False,False,403,False,False,False,P
1512,1,1,0.0654761904762,6,False,31,False,3,False,0,True,False,99,0.142857142857,3,5,False,False,False,5,False,False,False,False,False,4,0,False,False,92,False,False,True,P
14635,22,11,0.093611206013,34,False,35,False,2,False,0,True,False,1370,0.294117647059,3,8,False,False,False,23,False,False,False,False,False,10,0,False,False,535,False,False,False,P
2812,10,1,0.0739687055477,4,False,29,True,2,False,0,True,False,208,0.181818181818,3,4,False,False,False,3,False,False,False,False,False,18,0,False,False,137,False,False,False,P
8637,9,4,0.096561306009,8,False,39,False,2,False,0,True,False,834,0.130434782609,3,4,False,False,False,4,False,False,False,False,False,3,0,False,False,328,False,False,False,P
1332,12,1,0.123873873874,4,True,28,False,2,False,0,True,False,165,0.115384615385,3,5,False,False,False,3,False,False,False,False,False,3,0,False,False,99,False,False,False,P
2782,10,1,0.0747663551402,5,False,33,True,3,False,0,True,False,208,0.18085106383,3,5,False,False,False,4,False,False,False,False,False,17,0,False,False,137,False,False,False,P
2355,1,2,0.0751592356688,8,True,49,False,5,False,0,True,False,177,0.184210526316,4,8,False,False,False,6,False,True,False,False,False,7,0,False,False,129,False,False,False,P
77335,5,1,0.0185039115536,24,False,34,False,1,False,0,True,False,1431,0.227272727273,2,10,False,False,False,23,False,False,False,False,False,10,0,False,False,1203,False,False,False,P
3123,0,0,0.0137688120397,0,False,32,False,2,False,0,False,False,43,0.130434782609,0,1,False,False,False,0,False,False,False,False,False,3,0,False,False,43,False,False,False,P
5318,5,1,0.0539676570139,10,True,33,False,3,False,1,True,False,287,0.205128205128,3,6,True,False,False,9,False,False,False,False,False,8,0,False,False,214,False,False,False,P
12412,29,25,0.0848372542701,50,False,64,False,4,False,0,True,False,1053,0.15,4,14,False,True,False,25,False,False,True,True,False,6,0,False,False,519,True,False,False,P
1095,5,1,0.104109589041,3,False,35,True,3,False,0,True,False,114,0.333333333333,2,4,False,False,False,2,False,False,False,False,False,1,0,False,False,97,False,False,False,P
7894,6,0,0.0874081580948,5,True,48,False,2,False,0,True,False,690,0.130434782609,3,4,False,False,False,5,False,False,False,False,False,3,0,False,False,217,False,False,False,P
59165,0,0,0.0130989605341,0,False,26,False,2,False,0,True,False,775,0.11320754717,0,2,False,False,False,0,False,False,False,False,False,6,0,False,False,773,False,False,False,P
1493,7,1,0.103817816477,4,False,28,False,2,False,0,True,False,155,0.148148148148,2,5,False,False,False,3,False,False,False,False,False,4,0,False,False,94,False,False,False,P
5531,12,1,0.102151509673,2,True,42,False,3,False,0,True,False,565,0.147058823529,3,3,False,False,False,1,False,False,False,False,False,5,0,False,False,217,False,False,False,P
1671,13,1,0.100538599641,5,True,23,False,2,False,0,True,False,168,0.166666666667,2,6,False,False,True,4,False,False,False,False,False,4,0,False,False,102,False,False,False,P
3803,5,3,0.130949250592,6,False,37,False,3,False,0,True,True,498,0.129032258065,3,5,False,False,False,3,False,False,False,False,False,4,0,False,False,241,False,False,False,P
6204,10,3,0.113958736299,8,False,6,False,1,False,0,True,False,707,0.166666666667,3,6,False,False,False,5,False,False,True,True,False,1,0,False,False,392,False,False,False,P
8292,41,0,0.0842981186686,13,True,38,False,3,True,0,True,False,699,0.151515151515,5,11,False,False,True,13,False,False,False,False,False,5,0,False,False,348,False,False,False,P
13733,24,11,0.0774776086798,34,False,24,False,2,False,0,True,True,1064,0.25,4,10,False,False,False,23,False,True,False,False,False,10,0,False,False,578,False,False,False,P
606,2,1,0.0660066006601,2,False,45,False,2,False,0,True,False,40,0.192307692308,2,3,False,False,False,1,False,False,False,False,False,5,0,False,False,33,False,False,False,P
2411,4,1,0.0850269597677,4,True,44,False,4,False,0,True,False,205,0.0,2,4,False,False,False,3,False,False,False,False,False,0,0,False,False,152,False,False,False,P
288,2,2,0.0798611111111,3,True,43,False,2,False,1,True,False,23,0.192307692308,4,3,True,False,False,1,True,False,False,False,False,5,1,False,False,17,False,False,False,P
1399,17,1,0.131522516083,3,True,25,False,2,True,0,True,False,184,0.142857142857,1,4,False,False,True,2,False,False,False,False,False,4,0,False,False,107,False,False,False,P
816,2,1,0.142156862745,3,True,43,False,3,False,0,True,False,116,0.117647058824,2,4,False,False,False,2,False,False,False,False,False,2,0,False,False,71,False,False,False,P
